frame,speed_mps,dist_m,total_dist_m
1,1.38,0.1,0.1
2,1.38,0.03,0.14
3,0.69,0.0,0.14
4,0.7,0.03,0.17
5,1.74,0.04,0.21
6,1.4,0.1,0.31
7,1.72,0.0,0.31
8,0.69,0.07,0.38
9,1.42,0.0,0.38
10,1.42,0.07,0.45
11,1.81,0.07,0.52
12,1.24,0.04,0.56
13,0.9,0.02,0.58
14,0.85,0.03,0.61
15,0.77,0.03,0.65
16,0.78,0.01,0.66
17,1.46,0.04,0.69
18,3.05,0.1,0.79
19,4.7,0.17,0.96
20,4.03,0.2,1.16
21,2.76,0.03,1.19
22,1.28,0.04,1.24
23,2.72,0.05,1.29
24,3.24,0.18,1.47
25,4.6,0.09,1.56
26,3.55,0.19,1.75
27,4.35,0.07,1.82
28,2.99,0.17,2.0
29,5.16,0.05,2.05
30,4.41,0.29,2.34
31,5.13,0.1,2.44
32,2.64,0.12,2.56
33,2.66,0.04,2.6
34,3.06,0.1,2.7
35,4.04,0.16,2.87
36,3.69,0.14,3.01
37,7.38,0.07,3.07
38,8.01,0.53,3.6
39,8.68,0.2,3.81
40,4.06,0.13,3.94
41,2.45,0.07,4.01
42,1.12,0.04,4.05
43,0.85,0.0,4.05
44,0.77,0.04,4.09
45,4.09,0.03,4.13
46,4.33,0.33,4.46
47,4.4,0.07,4.53
48,1.62,0.04,4.57
49,1.33,0.05,4.62
52,3.02,0.04,4.66
53,7.11,0.21,4.87
54,11.68,0.46,5.33
56,12.19,0.49,5.83
57,9.9,0.26,6.09
58,8.71,0.23,6.32
59,6.78,0.38,6.7
60,6.17,0.07,6.77
61,3.67,0.17,6.94
64,4.09,0.13,7.07
65,3.3,0.11,7.18
66,2.54,0.09,7.27
67,5.42,0.05,7.32
68,5.6,0.4,7.72
69,8.32,0.11,7.83
70,4.83,0.32,8.15
71,5.27,0.05,8.2
72,4.58,0.16,8.36
73,7.47,0.25,8.61
74,6.74,0.34,8.95
75,5.42,0.08,9.03
76,2.63,0.12,9.15
77,3.67,0.06,9.21
78,3.4,0.19,9.4
79,3.19,0.09,9.49
80,1.32,0.04,9.53
81,4.59,0.0,9.53
82,5.82,0.42,9.95
