frame,speed_mps,dist_m,total_dist_m
83,6.64,0.16,10.11
84,6.26,0.08,10.2
85,5.08,0.38,10.58
86,4.35,0.04,10.62
87,0.97,0.01,10.63
88,0.93,0.05,10.68
89,1.24,0.04,10.71
90,1.53,0.04,10.75
91,2.31,0.08,10.83
92,2.31,0.12,10.95
93,3.45,0.04,10.98
94,3.43,0.19,11.17
95,4.18,0.11,11.29
96,2.83,0.11,11.4
97,2.61,0.06,11.46
98,1.75,0.09,11.55
99,2.12,0.03,11.58
100,2.39,0.09,11.67
101,2.94,0.12,11.79
102,3.02,0.08,11.87
103,3.08,0.1,11.97
104,2.68,0.13,12.1
105,2.8,0.04,12.14
106,4.17,0.11,12.25
107,5.24,0.26,12.51
108,4.97,0.15,12.66
109,3.25,0.09,12.75
110,2.57,0.09,12.84
111,3.96,0.08,12.92
112,4.94,0.22,13.14
113,5.2,0.19,13.33
114,4.23,0.11,13.44
115,3.89,0.13,13.57
116,3.22,0.15,13.72
117,3.36,0.04,13.76
118,3.68,0.14,13.9
119,6.41,0.19,14.09
120,8.03,0.31,14.4
121,8.18,0.3,14.71
122,5.72,0.2,14.91
123,6.34,0.07,14.97
124,7.65,0.37,15.34
125,11.22,0.33,15.67
126,11.71,0.42,16.1
127,11.23,0.41,16.51
128,8.24,0.29,16.8
129,4.41,0.12,16.92
130,1.89,0.03,16.95
131,1.43,0.03,16.98
132,1.36,0.08,17.06
133,5.69,0.02,17.09
134,6.8,0.47,17.55
135,7.21,0.19,17.74
136,5.74,0.07,17.81
137,5.46,0.32,18.13
138,7.43,0.16,18.29
139,6.53,0.26,18.55
140,5.23,0.23,18.78
141,3.29,0.03,18.81
142,1.97,0.07,18.88
143,2.12,0.1,18.98
144,2.11,0.05,19.02
145,1.31,0.07,19.09
146,1.18,0.02,19.11
147,3.43,0.03,19.14
148,4.53,0.29,19.43
149,4.85,0.13,19.56
150,2.6,0.07,19.63
151,1.4,0.07,19.69
152,1.39,0.01,19.7
153,1.1,0.06,19.77
154,1.34,0.04,19.8
155,1.66,0.03,19.84
156,2.7,0.1,19.93
157,2.53,0.14,20.07
158,1.89,0.02,20.09
159,0.49,0.03,20.12
160,1.29,0.0,20.12
161,1.65,0.1,20.22
162,2.57,0.07,20.29
163,2.75,0.09,20.38
164,2.33,0.12,20.49
165,2.78,0.03,20.52
166,4.65,0.14,20.66
167,5.47,0.3,20.96
168,5.33,0.11,21.07
169,3.53,0.12,21.19
170,2.89,0.12,21.31
171,2.27,0.04,21.35
172,14.66,0.06,21.42
174,17.53,1.36,22.78
175,18.39,0.33,23.11
176,5.95,0.15,23.26
177,2.96,0.12,23.37
178,1.91,0.03,23.4
179,1.63,0.04,23.45
180,1.57,0.09,23.54
181,3.23,0.02,23.56
182,2.66,0.21,23.77
183,3.95,0.03,23.8
184,2.68,0.15,23.96
185,4.01,0.08,24.04
186,2.98,0.17,24.2
187,4.32,0.05,24.25
188,3.29,0.22,24.47
189,3.1,0.06,24.53
190,1.89,0.03,24.56
191,1.62,0.1,24.66
192,2.6,0.04,24.69
193,3.27,0.13,24.82
194,3.58,0.16,24.98
195,3.19,0.07,25.05
196,3.35,0.09,25.14
197,4.75,0.18,25.32
198,5.83,0.21,25.53
199,6.81,0.2,25.72
200,6.42,0.28,26.0
201,5.5,0.17,26.17
202,3.49,0.11,26.27
203,2.49,0.07,26.35
204,2.44,0.07,26.42
205,2.23,0.1,26.52
206,1.72,0.05,26.57
207,1.13,0.02,26.59
208,1.33,0.04,26.63
209,3.49,0.07,26.71
210,4.08,0.23,26.94
211,4.69,0.1,27.04
212,2.79,0.14,27.17
213,2.64,0.04,27.22
214,2.58,0.09,27.3
215,3.01,0.13,27.43
216,2.64,0.09,27.52
217,1.53,0.05,27.57
218,0.67,0.02,27.58
219,0.18,0.0,27.58
220,0.39,0.0,27.58
221,0.82,0.04,27.62
222,1.6,0.04,27.67
223,1.78,0.08,27.74
224,1.52,0.06,27.8
225,2.4,0.02,27.82
226,2.59,0.17,27.98
227,2.77,0.08,28.06
228,1.9,0.04,28.1
229,2.03,0.08,28.17
230,1.84,0.09,28.26
231,1.8,0.02,28.28
232,1.19,0.07,28.35
233,1.28,0.03,28.38
234,0.97,0.03,28.41
235,1.05,0.04,28.45
236,1.13,0.03,28.49
237,1.4,0.03,28.52
238,1.23,0.07,28.59
239,1.23,0.02,28.61
240,1.25,0.04,28.64
241,1.79,0.07,28.72
242,2.13,0.07,28.79
243,1.59,0.07,28.86
244,1.93,0.02,28.88
245,2.63,0.11,28.98
246,3.51,0.14,29.12
247,3.53,0.11,29.23
248,2.48,0.11,29.33
249,1.82,0.04,29.37
250,1.14,0.04,29.41
251,1.23,0.04,29.45
252,4.0,0.04,29.49
253,4.24,0.32,29.81
254,4.19,0.06,29.87
255,1.46,0.04,29.91
256,2.24,0.04,29.95
257,2.2,0.14,30.1
258,3.48,0.04,30.13
259,3.1,0.17,30.3
260,3.44,0.1,30.41
261,6.96,0.07,30.48
262,9.74,0.52,31.0
263,11.43,0.38,31.38
264,8.93,0.24,31.62
265,6.44,0.27,31.89
266,4.73,0.13,32.02
267,2.09,0.07,32.09
268,4.1,0.01,32.1
269,5.14,0.34,32.44
270,6.08,0.17,32.6
271,9.72,0.1,32.71
272,10.29,0.7,33.41
273,9.26,0.23,33.63
274,3.57,0.0,33.63
275,4.35,0.13,33.76
276,4.68,0.31,34.07
277,4.66,0.03,34.1
278,2.24,0.13,34.23
279,5.01,0.06,34.29
280,4.71,0.31,34.6
281,6.2,0.1,34.7
282,4.59,0.21,34.91
283,5.11,0.15,35.06
284,3.29,0.15,35.21
285,2.11,0.03,35.24
286,3.34,0.03,35.27
287,4.57,0.27,35.55
288,5.19,0.15,35.7
289,3.39,0.09,35.79
290,2.18,0.09,35.88
291,1.58,0.03,35.92
292,1.99,0.03,35.95
293,3.03,0.13,36.08
294,6.88,0.14,36.22
295,7.8,0.42,36.64
296,6.77,0.23,36.86
297,7.14,0.03,36.9
298,7.52,0.45,37.35
299,7.54,0.27,37.62
300,4.09,0.03,37.65
301,6.33,0.11,37.76
302,7.91,0.49,38.25
303,7.84,0.19,38.44
304,3.26,0.1,38.54
305,1.98,0.03,38.58
306,1.61,0.06,38.64
307,1.28,0.06,38.7
308,0.96,0.0,38.7
309,2.89,0.03,38.74
310,17.7,0.26,38.99
318,18.94,1.48,40.47
319,18.06,0.16,40.63
320,3.8,0.17,40.8
321,3.99,0.06,40.85
322,3.72,0.17,41.03
323,4.25,0.14,41.17
324,3.59,0.11,41.28
325,3.6,0.11,41.39
326,2.87,0.14,41.53
327,3.59,0.04,41.57
328,3.98,0.18,41.75
329,4.41,0.18,41.93
330,2.98,0.08,42.01
331,1.53,0.04,42.04
332,1.12,0.04,42.08
333,0.92,0.04,42.12
334,0.93,0.02,42.14
335,1.29,0.04,42.17
336,2.94,0.07,42.25
337,5.15,0.18,42.43
338,5.17,0.26,42.69
339,7.51,0.07,42.76
340,10.36,0.42,43.18
341,16.83,0.54,43.73
359,16.7,0.72,44.45
360,14.83,0.4,44.85
361,8.4,0.36,45.21
362,4.75,0.08,45.29
363,1.27,0.04,45.33
364,1.27,0.01,45.34
365,1.68,0.08,45.41
366,3.94,0.08,45.49
367,3.15,0.23,45.73
368,2.73,0.0,45.73
369,1.16,0.04,45.77
370,1.99,0.08,45.85
371,2.82,0.08,45.93
372,2.58,0.12,46.05
373,2.89,0.05,46.1
374,2.44,0.11,46.22
375,3.8,0.08,46.29
376,6.61,0.19,46.48
377,7.33,0.39,46.88
378,6.54,0.15,47.03
379,3.31,0.11,47.14
380,2.2,0.07,47.21
381,2.19,0.04,47.25
382,3.27,0.11,47.36
383,5.81,0.18,47.54
384,7.51,0.29,47.83
385,8.5,0.28,48.11
386,6.95,0.28,48.39
387,5.84,0.14,48.52
388,5.41,0.17,48.69
389,6.38,0.23,48.93
390,8.0,0.23,49.16
392,6.31,0.33,49.49
393,4.33,0.07,49.56
394,1.35,0.04,49.59
395,1.34,0.03,49.63
396,1.31,0.06,49.69
397,2.3,0.03,49.72
398,1.74,0.13,49.86
399,2.75,0.01,49.86
400,3.83,0.14,50.0
401,4.35,0.24,50.24
402,4.07,0.06,50.3
403,2.51,0.11,50.41
404,2.32,0.08,50.49
405,1.67,0.04,50.53
406,2.08,0.04,50.57
407,2.89,0.12,50.7
408,3.34,0.12,50.82
409,3.05,0.09,50.91
410,2.0,0.1,51.0
411,1.9,0.02,51.02
412,0.94,0.08,51.1
413,2.25,0.0,51.1
414,2.18,0.15,51.25
415,2.96,0.07,51.32
416,2.24,0.08,51.39
417,1.89,0.08,51.47
418,1.65,0.03,51.5
419,1.92,0.05,51.56
420,2.61,0.1,51.66
421,2.55,0.1,51.77
422,1.87,0.05,51.81
423,1.36,0.04,51.85
424,1.74,0.05,51.9
425,2.0,0.09,51.99
426,3.45,0.06,52.05
427,3.3,0.2,52.25
428,2.95,0.07,52.32
429,1.41,0.03,52.34
430,2.1,0.04,52.39
431,3.45,0.14,52.53
432,3.98,0.16,52.69
433,3.01,0.1,52.79
434,1.75,0.04,52.83
435,2.17,0.03,52.86
436,2.69,0.14,53.0
437,2.51,0.1,53.1
438,1.56,0.02,53.12
439,1.3,0.04,53.16
440,1.47,0.07,53.23
441,1.8,0.03,53.26
442,1.87,0.08,53.34
443,2.36,0.08,53.41
444,2.99,0.08,53.5
445,4.21,0.14,53.64
446,3.7,0.2,53.84
447,4.3,0.03,53.87
448,3.29,0.2,54.07
449,3.32,0.1,54.16
450,1.69,0.04,54.2
451,1.05,0.04,54.24
452,1.01,0.03,54.27
453,0.97,0.03,54.3
454,1.0,0.03,54.33
455,1.01,0.04,54.37
456,1.41,0.03,54.4
457,2.58,0.07,54.47
458,2.97,0.15,54.63
459,3.1,0.07,54.7
460,2.4,0.08,54.78
461,2.15,0.08,54.87
462,1.63,0.05,54.91
463,1.13,0.03,54.95
464,0.65,0.03,54.98
465,0.98,0.0,54.98
466,0.66,0.07,55.05
467,1.35,0.0,55.05
468,1.23,0.07,55.12
469,2.05,0.05,55.17
470,2.03,0.08,55.25
471,2.28,0.07,55.32
472,2.95,0.08,55.4
473,3.81,0.15,55.55
474,4.06,0.15,55.7
475,3.35,0.1,55.8
476,2.07,0.08,55.88
477,1.75,0.03,55.91
478,1.7,0.07,55.98
479,1.95,0.07,56.05
480,2.0,0.05,56.1
481,2.21,0.08,56.18
482,2.04,0.09,56.27
483,2.16,0.03,56.31
484,1.78,0.09,56.4
485,2.94,0.05,56.45
486,2.89,0.15,56.6
487,2.72,0.08,56.68
488,1.3,0.04,56.72
489,0.8,0.01,56.73
490,1.13,0.03,56.76
491,1.53,0.07,56.84
492,1.66,0.05,56.88
493,2.29,0.05,56.93
494,2.47,0.13,57.06
495,5.94,0.07,57.13
496,6.31,0.4,57.53
497,7.48,0.17,57.7
498,9.92,0.18,57.88
499,13.4,0.64,58.52
500,13.79,0.52,59.04
501,8.53,0.22,59.26
502,6.27,0.11,59.37
503,6.63,0.29,59.66
504,8.61,0.26,59.92
505,9.37,0.31,60.23
506,7.74,0.37,60.6
507,5.81,0.1,60.69
508,2.3,0.12,60.81
509,1.93,0.02,60.83
510,1.05,0.06,60.89
511,1.49,0.03,60.92
512,0.9,0.06,60.98
513,1.52,0.0,60.98
514,2.69,0.09,61.07
515,3.58,0.18,61.25
516,4.55,0.09,61.34
517,3.74,0.19,61.53
518,3.3,0.1,61.62
519,1.8,0.05,61.67
520,1.98,0.04,61.71
521,2.02,0.11,61.82
522,3.35,0.05,61.87
523,4.84,0.17,62.04
524,5.36,0.26,62.3
525,5.86,0.1,62.4
526,7.1,0.22,62.63
527,8.38,0.39,63.01
528,8.48,0.23,63.24
529,5.4,0.23,63.47
530,3.48,0.08,63.55
531,3.48,0.04,63.59
532,3.03,0.23,63.82
533,4.3,0.03,63.86
534,3.03,0.16,64.02
535,4.14,0.1,64.13
536,3.19,0.15,64.27
537,3.04,0.07,64.34
538,2.28,0.09,64.43
539,1.77,0.07,64.5
540,1.22,0.02,64.52
541,2.23,0.03,64.55
542,2.41,0.17,64.72
543,3.21,0.04,64.76
544,2.45,0.12,64.87
545,3.83,0.09,64.97
546,3.91,0.17,65.14
547,3.9,0.12,65.26
548,2.43,0.09,65.36
549,1.69,0.03,65.38
550,1.7,0.05,65.43
551,2.16,0.09,65.53
552,1.84,0.07,65.6
553,1.29,0.02,65.62
554,0.92,0.04,65.66
555,1.46,0.03,65.69
556,1.47,0.07,65.76
557,1.56,0.04,65.8
558,1.19,0.04,65.85
559,1.9,0.04,65.88
560,1.82,0.11,65.99
561,1.9,0.04,66.03
562,2.25,0.04,66.07
563,2.61,0.14,66.22
564,2.88,0.07,66.29
565,1.79,0.07,66.36
566,1.07,0.04,66.4
567,0.73,0.0,66.4
568,1.14,0.04,66.43
569,1.58,0.08,66.51
570,2.06,0.04,66.55
571,1.47,0.08,66.64
572,1.38,0.02,66.66
573,2.05,0.04,66.69
574,3.72,0.15,66.84
575,5.12,0.18,67.03
576,5.04,0.18,67.2
577,8.04,0.14,67.35
578,7.65,0.48,67.83
579,8.26,0.14,67.97
580,4.03,0.2,68.17
581,3.04,0.06,68.24
582,1.75,0.04,68.27
583,1.67,0.08,68.35
584,1.64,0.05,68.4
585,2.29,0.03,68.44
586,2.36,0.14,68.58
587,2.36,0.06,68.64
588,1.33,0.03,68.67
589,0.72,0.04,68.71
590,0.71,0.0,68.71
591,1.98,0.03,68.74
592,2.96,0.17,68.91
593,3.95,0.1,69.01
594,6.21,0.13,69.14
595,8.44,0.39,69.53
596,8.08,0.32,69.85
597,4.82,0.1,69.95
598,2.07,0.06,70.01
599,4.26,0.05,70.06
600,4.25,0.32,70.37
601,5.08,0.06,70.44
602,2.56,0.13,70.57
603,3.88,0.06,70.63
604,3.9,0.2,70.83
605,4.39,0.13,70.95
606,3.4,0.11,71.07
607,3.48,0.1,71.17
608,2.43,0.14,71.3
609,2.88,0.01,71.31
610,2.53,0.14,71.45
611,2.92,0.1,71.56
612,1.97,0.05,71.6
613,1.21,0.05,71.65
614,1.08,0.03,71.68
615,0.6,0.03,71.71
616,1.67,0.0,71.71
617,3.68,0.13,71.84
618,5.38,0.24,72.08
619,6.11,0.17,72.25
620,4.45,0.21,72.45
621,3.47,0.07,72.52
622,2.46,0.07,72.6
623,3.18,0.1,72.7
624,3.04,0.14,72.84
625,2.81,0.06,72.9
626,1.79,0.08,72.98
627,1.72,0.04,73.02
628,1.45,0.05,73.07
629,1.45,0.06,73.13
630,0.95,0.04,73.17
631,0.39,0.0,73.17
632,0.7,0.0,73.17
633,0.78,0.07,73.24
634,1.5,0.01,73.24
635,2.13,0.07,73.32
636,4.59,0.13,73.45
637,4.61,0.26,73.7
638,3.65,0.07,73.78
639,1.98,0.04,73.81
640,2.95,0.09,73.9
641,4.61,0.17,74.07
642,4.7,0.2,74.27
643,5.35,0.1,74.37
644,4.12,0.24,74.61
645,3.89,0.08,74.69
646,2.94,0.07,74.76
647,3.35,0.14,74.9
648,3.36,0.12,75.02
649,3.25,0.08,75.1
650,2.86,0.13,75.23
651,2.74,0.08,75.31
652,2.79,0.06,75.37
653,3.54,0.13,75.5
654,3.83,0.16,75.66
655,3.25,0.09,75.75
656,1.78,0.08,75.83
657,1.21,0.01,75.84
658,0.95,0.04,75.87
659,1.23,0.05,75.92
660,1.79,0.04,75.96
661,1.74,0.09,76.05
662,1.55,0.04,76.1
663,1.61,0.02,76.12
664,2.25,0.1,76.21
665,3.45,0.11,76.32
666,3.64,0.14,76.46
667,3.67,0.12,76.58
668,2.81,0.11,76.69
669,4.22,0.05,76.74
670,4.68,0.26,77.0
671,5.31,0.16,77.16
672,3.87,0.12,77.27
673,3.27,0.12,77.39
674,2.6,0.1,77.48
675,2.5,0.05,77.53
676,3.13,0.1,77.64
677,4.01,0.16,77.8
678,4.72,0.14,77.93
679,5.08,0.18,78.11
680,4.28,0.19,78.3
681,3.15,0.06,78.36
682,2.34,0.06,78.42
683,3.03,0.11,78.54
684,4.32,0.13,78.66
685,4.58,0.19,78.86
686,3.82,0.14,79.0
687,3.63,0.05,79.05
688,3.39,0.17,79.22
689,3.95,0.12,79.33
690,2.72,0.11,79.44
691,2.0,0.05,79.49
692,1.3,0.04,79.54
693,1.16,0.04,79.57
694,1.16,0.04,79.61
695,1.24,0.04,79.65
696,1.96,0.04,79.7
697,2.35,0.11,79.8
698,2.35,0.08,79.89
699,1.45,0.04,79.93
700,1.46,0.02,79.95
701,2.26,0.08,80.03
702,2.65,0.12,80.16
703,2.89,0.06,80.21
704,2.02,0.11,80.32
705,2.53,0.04,80.36
706,1.88,0.11,80.47
707,1.96,0.04,80.51
708,1.32,0.04,80.55
709,1.33,0.04,80.6
710,0.98,0.04,80.64
711,0.9,0.01,80.65
712,0.54,0.04,80.69
713,1.57,0.01,80.7
714,1.64,0.11,80.81
715,2.29,0.04,80.85
716,1.89,0.07,80.93
717,1.81,0.07,81.0
718,1.81,0.04,81.03
719,1.67,0.07,81.11
720,1.82,0.06,81.16
721,2.16,0.05,81.21
722,1.94,0.11,81.32
723,2.5,0.04,81.36
724,2.49,0.11,81.46
725,2.48,0.11,81.57
726,1.42,0.04,81.61
727,0.75,0.0,81.61
728,0.48,0.04,81.65
729,0.66,0.01,81.65
730,2.43,0.02,81.67
733,3.14,0.22,81.89
734,3.41,0.08,81.97
735,2.13,0.04,82.01
736,2.28,0.09,82.1
737,2.56,0.09,82.2
738,3.21,0.07,82.27
739,2.84,0.15,82.42
740,2.38,0.06,82.48
741,1.21,0.03,82.51
742,1.44,0.04,82.54
743,2.13,0.08,82.62
744,2.14,0.1,82.72
745,2.13,0.04,82.76
746,1.44,0.08,82.84
747,1.44,0.03,82.86
748,1.0,0.04,82.9
749,1.1,0.04,82.94
750,2.17,0.04,82.97
751,3.28,0.14,83.12
752,2.99,0.15,83.27
753,2.96,0.01,83.27
754,2.21,0.14,83.42
755,2.51,0.07,83.49
756,1.19,0.04,83.52
757,0.83,0.01,83.53
758,0.79,0.04,83.57
759,1.06,0.04,83.6
760,2.83,0.04,83.64
761,3.55,0.21,83.85
762,4.26,0.11,83.96
763,2.54,0.11,84.07
764,1.47,0.04,84.11
765,0.77,0.0,84.11
766,1.78,0.04,84.14
767,3.2,0.14,84.28
768,4.57,0.14,84.43
769,3.49,0.17,84.6
770,2.08,0.03,84.63
771,0.84,0.0,84.63
772,1.56,0.05,84.68
773,2.28,0.11,84.79
774,2.18,0.07,84.86
775,1.87,0.04,84.9
776,1.51,0.08,84.98
777,2.88,0.04,85.01
778,3.56,0.18,85.19
779,4.27,0.14,85.33
780,4.43,0.11,85.44
781,4.91,0.19,85.63
782,4.6,0.19,85.82
783,3.05,0.08,85.9
784,1.23,0.04,85.94
785,1.62,0.01,85.95
786,2.04,0.11,86.06
787,2.36,0.08,86.14
788,1.6,0.04,86.18
789,1.19,0.04,86.22
790,3.46,0.04,86.26
791,5.82,0.27,86.53
792,9.46,0.28,86.8
793,17.0,0.4,87.21
801,15.47,1.02,88.23
802,13.9,0.12,88.35
803,5.22,0.24,88.6
804,5.73,0.16,88.75
805,7.03,0.17,88.92
806,6.74,0.37,89.3
807,7.38,0.13,89.43
808,5.16,0.24,89.66
809,4.26,0.15,89.81
810,2.31,0.04,89.85
811,1.21,0.04,89.89
812,1.22,0.04,89.94
813,1.19,0.04,89.97
814,1.16,0.04,90.01
815,1.51,0.04,90.05
816,1.96,0.07,90.12
817,2.47,0.08,90.21
818,2.15,0.09,90.3
819,1.71,0.04,90.34
820,2.66,0.04,90.38
821,4.14,0.19,90.56
823,6.34,0.19,90.75
824,5.58,0.26,91.01
825,5.16,0.11,91.12
826,4.74,0.15,91.27
827,7.58,0.22,91.49
829,6.47,0.39,91.88
830,4.99,0.04,91.92
831,1.05,0.07,91.99
832,1.84,0.0,91.99
833,1.49,0.11,92.1
834,1.94,0.03,92.14
835,1.48,0.04,92.18
836,1.49,0.07,92.25
837,1.53,0.03,92.28
838,3.05,0.05,92.33
839,5.15,0.22,92.55
840,7.4,0.24,92.8
841,8.18,0.27,93.07
842,6.73,0.3,93.37
843,5.96,0.1,93.47
844,6.16,0.2,93.67
845,9.86,0.32,93.99
846,11.26,0.47,94.46
847,10.48,0.34,94.79
848,6.38,0.24,95.04
849,3.62,0.06,95.1
850,1.49,0.06,95.16
851,3.56,0.03,95.19
852,3.55,0.27,95.45
853,5.03,0.06,95.51
854,3.56,0.18,95.69
855,4.15,0.12,95.81
856,2.89,0.12,95.93
857,3.95,0.05,95.98
858,3.07,0.23,96.2
859,3.17,0.03,96.23
860,1.52,0.06,96.29
861,2.85,0.06,96.35
862,2.86,0.16,96.52
863,3.79,0.06,96.58
864,3.44,0.15,96.73
865,3.77,0.13,96.86
866,2.69,0.1,96.96
867,2.99,0.04,97.0
868,3.02,0.16,97.16
869,6.65,0.1,97.26
871,8.66,0.41,97.67
872,9.0,0.36,98.03
873,7.95,0.13,98.16
874,4.77,0.3,98.46
875,4.65,0.04,98.5
876,2.31,0.12,98.63
877,2.42,0.07,98.69
878,1.55,0.05,98.75
879,1.3,0.03,98.78
880,1.49,0.04,98.82
881,2.03,0.07,98.9
882,2.28,0.09,98.98
883,5.88,0.07,99.05
884,6.69,0.43,99.48
885,7.72,0.17,99.65
886,4.58,0.17,99.82
887,3.15,0.12,99.94
888,1.62,0.03,99.97
889,1.7,0.02,99.98
890,1.82,0.13,100.11
891,2.49,0.04,100.15
892,1.95,0.08,100.23
893,2.13,0.07,100.31
894,1.76,0.06,100.36
895,1.74,0.05,100.41
896,1.27,0.07,100.48
897,1.81,0.01,100.49
898,2.84,0.1,100.59
899,3.81,0.17,100.76
900,3.57,0.11,100.87
901,2.94,0.08,100.95
902,2.27,0.11,101.06
903,1.58,0.04,101.1
904,1.18,0.01,101.11
905,0.97,0.07,101.18
906,1.38,0.02,101.19
907,1.55,0.05,101.24
908,1.56,0.09,101.33
909,1.62,0.02,101.35
910,1.18,0.06,101.41
911,1.71,0.04,101.45
912,1.85,0.07,101.52
913,2.12,0.07,101.59
914,1.5,0.07,101.66
915,1.88,0.01,101.67
916,2.36,0.11,101.78
917,4.51,0.12,101.9
918,5.03,0.22,102.12
919,5.84,0.16,102.28
920,3.88,0.2,102.48
921,4.14,0.03,102.51
922,3.35,0.19,102.7
923,3.44,0.12,102.82
924,2.16,0.04,102.85
925,1.62,0.06,102.91
926,1.68,0.07,102.98
927,1.61,0.04,103.02
928,2.2,0.05,103.07
929,2.73,0.13,103.2
930,3.79,0.09,103.29
931,3.86,0.16,103.45
932,3.1,0.13,103.59
933,1.93,0.02,103.6
934,1.43,0.04,103.65
935,2.83,0.08,103.73
936,3.21,0.16,103.89
937,4.41,0.08,103.97
938,3.63,0.2,104.17
939,5.6,0.08,104.25
940,4.79,0.28,104.53
941,6.26,0.12,104.65
955,7.24,0.23,104.88
956,7.38,0.38,105.25
957,7.67,0.13,105.39
958,7.09,0.26,105.64
959,6.9,0.32,105.96
960,5.86,0.12,106.08
961,3.45,0.15,106.23
962,2.68,0.08,106.31
963,1.56,0.04,106.34
964,0.9,0.04,106.39
965,1.28,0.01,106.4
966,1.22,0.08,106.47
967,1.66,0.04,106.51
968,1.67,0.05,106.56
969,2.13,0.08,106.64
970,2.83,0.08,106.72
971,4.55,0.12,106.85
972,8.18,0.25,107.09
974,6.94,0.45,107.54
975,22.67,0.0,107.54
975,35.55,1.82,109.36
976,36.92,1.73,111.09
977,19.62,0.14,111.23
978,4.87,0.09,111.32
979,5.73,0.26,111.58
980,5.91,0.22,111.8
981,4.87,0.11,111.91
983,3.84,0.16,112.07
984,3.92,0.12,112.19
985,3.16,0.12,112.3
986,2.39,0.08,112.38
987,2.71,0.04,112.43
988,3.08,0.15,112.58
989,4.45,0.12,112.69
990,4.54,0.18,112.87
991,5.63,0.16,113.03
992,4.55,0.22,113.25
993,6.06,0.07,113.33
994,6.24,0.31,113.64
995,8.0,0.24,113.88
996,6.15,0.25,114.13
997,8.01,0.12,114.25
998,6.82,0.43,114.68
999,7.9,0.13,114.81
1000,6.16,0.23,115.04
1001,6.45,0.25,115.3
1002,5.97,0.16,115.45
1003,3.59,0.18,115.64
1004,2.31,0.02,115.65
1005,0.87,0.03,115.68
1006,1.12,0.04,115.72
1007,1.22,0.04,115.77
1008,1.44,0.04,115.81
1009,1.95,0.06,115.87
1010,2.18,0.09,115.96
1011,2.24,0.06,116.02
1012,2.27,0.07,116.09
1013,3.29,0.1,116.19
1014,3.57,0.16,116.35
1015,3.61,0.1,116.45
1016,2.13,0.1,116.55
1017,1.58,0.02,116.57
1018,1.94,0.04,116.61
1019,3.1,0.14,116.74
1020,3.99,0.13,116.88
1021,4.26,0.13,117.01
1022,3.27,0.16,117.17
1023,3.02,0.03,117.2
1024,2.73,0.11,117.31
1025,3.08,0.13,117.44
1026,2.46,0.07,117.51
1027,1.9,0.04,117.56
1028,1.37,0.08,117.63
1029,1.49,0.02,117.65
1030,1.93,0.05,117.7
1031,2.85,0.12,117.83
1032,2.9,0.11,117.93
1033,2.57,0.06,117.99
1034,1.57,0.09,118.08
1035,1.31,0.01,118.09
1036,1.09,0.03,118.13
1037,1.42,0.07,118.19
1038,1.86,0.04,118.23
1039,2.65,0.08,118.31
1040,2.98,0.15,118.46
1041,2.89,0.07,118.53
1042,3.57,0.07,118.6
1043,3.93,0.21,118.81
1044,3.73,0.11,118.92
1045,2.15,0.05,118.97
1046,1.13,0.06,119.03
1047,0.9,0.01,119.04
1048,1.27,0.03,119.06
1049,1.99,0.09,119.16
1050,2.55,0.08,119.24
