frame,speed_mps,dist_m,total_dist_m
228,0.41,0.01,18.87
229,0.25,0.0,18.87
230,0.54,0.02,18.88
231,0.9,0.04,18.92
232,1.43,0.04,18.96
233,3.06,0.07,19.03
234,4.88,0.2,19.22
235,6.39,0.22,19.44
236,5.35,0.22,19.67
237,4.1,0.09,19.76
238,2.67,0.09,19.85
239,2.63,0.08,19.93
240,2.76,0.09,20.02
241,4.31,0.11,20.13
242,4.39,0.23,20.36
243,5.54,0.1,20.46
244,4.53,0.22,20.68
245,4.34,0.13,20.82
246,2.69,0.08,20.9
247,1.97,0.06,20.95
248,1.31,0.06,21.01
249,1.7,0.01,21.03
250,2.17,0.1,21.12
251,2.87,0.11,21.23
252,2.62,0.08,21.31
253,2.4,0.07,21.38
254,2.0,0.09,21.47
255,1.97,0.04,21.51
256,1.68,0.07,21.58
257,2.07,0.06,21.64
258,2.43,0.08,21.72
259,2.64,0.1,21.82
260,2.27,0.08,21.9
261,2.32,0.04,21.95
262,2.67,0.11,22.06
263,3.15,0.11,22.17
264,2.71,0.09,22.26
265,2.24,0.07,22.33
266,1.55,0.07,22.39
267,1.24,0.02,22.42
268,1.18,0.04,22.45
269,1.83,0.06,22.51
270,1.95,0.09,22.6
271,2.06,0.05,22.65
272,1.42,0.07,22.72
273,1.38,0.02,22.74
274,0.88,0.04,22.79
275,0.87,0.02,22.81
276,0.66,0.02,22.83
277,0.67,0.02,22.85
278,0.46,0.02,22.87
279,0.45,0.0,22.87
280,0.29,0.02,22.9
281,1.58,0.01,22.9
282,2.23,0.13,23.03
283,2.61,0.09,23.12
284,1.54,0.05,23.16
285,1.12,0.02,23.19
286,1.69,0.04,23.23
287,3.2,0.1,23.33
288,4.08,0.17,23.51
289,4.61,0.13,23.64
290,3.54,0.15,23.79
291,6.29,0.07,23.86
292,7.28,0.41,24.27
293,7.37,0.25,24.52
294,4.72,0.08,24.6
295,3.59,0.14,24.74
296,3.54,0.14,24.88
297,2.58,0.07,24.95
298,2.28,0.05,25.0
299,3.12,0.11,25.11
300,2.9,0.15,25.26
301,2.98,0.02,25.29
302,2.14,0.12,25.41
303,2.11,0.07,25.48
304,1.51,0.02,25.5
305,3.86,0.06,25.56
306,7.51,0.31,25.86
307,9.39,0.39,26.25
308,12.88,0.25,26.5
309,10.93,0.65,27.15
310,9.19,0.19,27.34
311,4.09,0.07,27.42
312,2.51,0.15,27.56
313,3.23,0.03,27.59
314,2.04,0.15,27.74
315,1.79,0.03,27.76
316,0.82,0.01,27.77
317,2.74,0.05,27.82
318,3.64,0.22,28.04
319,4.39,0.1,28.14
320,2.69,0.12,28.26
321,2.19,0.05,28.31
322,1.2,0.05,28.35
323,1.04,0.02,28.38
324,1.33,0.03,28.41
325,2.11,0.08,28.49
326,2.06,0.1,28.59
327,1.88,0.03,28.62
328,1.39,0.06,28.68
329,1.39,0.05,28.73
330,1.03,0.03,28.76
331,0.96,0.02,28.78
332,1.37,0.05,28.83
333,2.08,0.07,28.89
334,2.97,0.09,28.99
335,4.09,0.14,29.12
336,5.21,0.18,29.3
337,5.6,0.2,29.51
338,4.23,0.18,29.68
339,3.51,0.04,29.73
340,3.08,0.13,29.86
341,3.52,0.13,29.99
342,3.05,0.09,30.08
343,2.23,0.09,30.16
344,1.58,0.05,30.21
345,1.0,0.02,30.24
346,0.79,0.03,30.26
347,1.0,0.03,30.29
348,0.95,0.04,30.34
349,1.08,0.02,30.36
350,0.65,0.04,30.4
351,1.52,0.0,30.4
352,2.02,0.11,30.51
353,3.28,0.09,30.6
354,3.43,0.13,30.73
355,2.91,0.12,30.85
356,1.86,0.04,30.89
357,1.24,0.02,30.91
358,1.03,0.06,30.98
359,1.24,0.02,31.0
360,1.97,0.04,31.04
361,3.66,0.13,31.17
362,3.77,0.19,31.36
363,3.37,0.05,31.42
364,3.15,0.09,31.51
365,3.96,0.17,31.68
366,4.23,0.13,31.81
367,3.68,0.12,31.93
368,2.67,0.11,32.05
369,2.55,0.03,32.08
370,2.18,0.11,32.19
371,2.17,0.08,32.26
372,1.9,0.03,32.3
373,2.28,0.08,32.38
374,2.33,0.11,32.49
375,2.92,0.04,32.53
376,2.69,0.14,32.67
377,4.21,0.09,32.76
378,3.66,0.19,32.95
379,3.57,0.09,33.04
380,2.12,0.08,33.12
381,2.05,0.05,33.16
382,2.43,0.08,33.24
383,3.76,0.12,33.36
384,4.17,0.18,33.54
385,3.81,0.12,33.66
386,2.63,0.08,33.74
387,2.04,0.06,33.8
388,1.85,0.06,33.86
389,1.99,0.06,33.93
390,2.74,0.08,34.0
391,3.46,0.14,34.14
392,3.11,0.13,34.27
393,2.43,0.04,34.31
394,2.12,0.07,34.38
395,2.76,0.1,34.48
396,2.92,0.11,34.59
397,2.37,0.09,34.67
398,1.52,0.05,34.72
399,0.92,0.02,34.74
400,1.75,0.03,34.77
401,2.39,0.13,34.9
402,3.77,0.08,34.98
403,3.9,0.16,35.14
404,3.64,0.14,35.29
405,2.54,0.06,35.34
406,1.67,0.05,35.4
407,2.19,0.06,35.45
408,2.51,0.11,35.56
409,2.77,0.08,35.65
410,1.94,0.08,35.73
411,1.87,0.03,35.76
412,1.65,0.08,35.84
413,1.67,0.06,35.89
414,1.72,0.03,35.92
415,3.2,0.08,36.01
416,3.69,0.21,36.22
417,4.29,0.08,36.29
418,3.52,0.14,36.44
419,3.55,0.13,36.57
420,3.11,0.08,36.65
421,2.93,0.1,36.75
422,2.41,0.11,36.86
423,2.32,0.03,36.89
424,2.45,0.09,36.98
425,4.23,0.13,37.11
426,5.77,0.21,37.31
427,7.08,0.25,37.56
428,5.63,0.26,37.81
429,4.51,0.06,37.87
430,3.39,0.13,38.01
431,4.16,0.14,38.15
432,3.27,0.14,38.29
433,2.22,0.04,38.33
434,1.02,0.04,38.37
435,1.42,0.02,38.39
436,1.82,0.08,38.48
437,2.24,0.08,38.56
438,1.95,0.06,38.62
439,2.12,0.06,38.67
440,1.91,0.1,38.77
441,1.58,0.04,38.81
442,0.82,0.02,38.83
443,0.82,0.02,38.85
444,0.72,0.04,38.89
445,0.79,0.01,38.9
446,0.62,0.03,38.93
447,1.06,0.02,38.95
448,1.95,0.06,39.01
449,3.2,0.12,39.12
450,4.83,0.15,39.27
451,5.47,0.22,39.49
452,4.44,0.18,39.67
453,2.91,0.04,39.71
454,2.31,0.07,39.78
455,2.07,0.12,39.9
456,1.8,0.02,39.92
457,0.99,0.04,39.96
458,0.92,0.04,40.0
459,1.0,0.01,40.01
460,1.03,0.05,40.06
461,2.17,0.04,40.1
462,3.62,0.13,40.23
463,5.64,0.19,40.42
464,5.25,0.24,40.67
465,4.41,0.09,40.76
466,2.61,0.11,40.87
467,2.38,0.06,40.93
468,2.05,0.06,40.99
469,2.2,0.08,41.07
470,1.85,0.08,41.15
471,1.5,0.03,41.18
472,1.06,0.04,41.22
473,1.42,0.04,41.25
474,2.27,0.07,41.32
475,2.98,0.13,41.45
476,2.79,0.11,41.55
477,1.79,0.05,41.6
478,1.38,0.03,41.63
479,1.34,0.07,41.69
480,1.52,0.04,41.73
481,1.53,0.04,41.78
482,1.32,0.07,41.84
483,1.99,0.02,41.87
484,2.23,0.11,41.98
485,2.72,0.09,42.07
486,1.83,0.07,42.14
487,1.15,0.02,42.16
488,0.67,0.02,42.18
489,0.45,0.02,42.2
490,0.37,0.0,42.2
491,1.08,0.01,42.22
492,1.22,0.09,42.31
493,1.37,0.01,42.33
494,0.57,0.03,42.36
495,0.66,0.01,42.37
496,0.52,0.02,42.39
497,0.66,0.01,42.41
498,0.92,0.03,42.44
499,1.2,0.05,42.49
500,0.98,0.04,42.53
501,0.72,0.01,42.53
502,0.67,0.02,42.56
503,1.14,0.04,42.59
504,1.26,0.05,42.65
505,2.24,0.04,42.68
506,2.14,0.13,42.82
507,2.74,0.04,42.86
508,3.15,0.1,42.96
509,4.01,0.18,43.13
510,4.23,0.13,43.26
511,3.14,0.12,43.38
512,2.05,0.07,43.45
513,1.22,0.02,43.47
514,0.99,0.03,43.5
515,1.29,0.04,43.55
516,1.87,0.05,43.6
517,1.66,0.09,43.69
518,1.37,0.02,43.71
519,0.69,0.02,43.73
520,0.9,0.03,43.76
521,1.35,0.04,43.8
522,1.68,0.07,43.87
523,2.09,0.06,43.93
524,1.95,0.08,44.01
525,2.29,0.05,44.06
526,2.66,0.09,44.16
527,3.35,0.12,44.28
528,3.87,0.12,44.4
529,3.41,0.15,44.54
530,2.46,0.07,44.62
531,1.75,0.03,44.64
532,2.15,0.07,44.72
533,3.66,0.11,44.83
534,4.22,0.18,45.01
535,3.96,0.13,45.14
536,2.41,0.09,45.23
537,1.17,0.02,45.25
538,0.44,0.01,45.26
539,0.62,0.01,45.27
540,1.27,0.04,45.31
541,1.34,0.07,45.38
542,1.15,0.02,45.41
543,0.92,0.02,45.43
544,1.42,0.05,45.48
545,2.3,0.07,45.55
546,2.47,0.11,45.66
547,3.33,0.07,45.72
548,2.7,0.16,45.88
549,2.85,0.05,45.93
550,2.12,0.08,46.01
551,1.98,0.08,46.09
552,1.53,0.03,46.13
553,1.74,0.03,46.16
554,1.61,0.11,46.27
555,2.25,0.02,46.29
556,2.64,0.1,46.39
557,3.76,0.14,46.53
558,3.95,0.13,46.66
559,3.49,0.12,46.78
560,2.42,0.1,46.88
561,1.51,0.03,46.9
562,1.46,0.03,46.93
563,2.62,0.09,47.03
564,3.22,0.14,47.17
565,3.08,0.09,47.25
566,2.19,0.08,47.33
567,1.72,0.05,47.38
568,1.69,0.04,47.43
569,1.87,0.08,47.5
570,1.87,0.07,47.57
571,1.56,0.04,47.61
572,0.93,0.05,47.66
573,0.98,0.01,47.67
574,0.59,0.05,47.71
575,0.96,0.01,47.72
576,1.16,0.04,47.76
577,1.32,0.07,47.83
578,0.89,0.02,47.85
579,0.46,0.0,47.85
580,0.44,0.02,47.87
581,0.58,0.02,47.89
582,0.56,0.01,47.91
583,0.65,0.02,47.93
584,0.58,0.03,47.96
585,1.31,0.01,47.97
586,1.26,0.09,48.06
587,1.33,0.03,48.09
588,1.2,0.01,48.1
589,1.74,0.08,48.18
590,1.95,0.08,48.26
591,1.37,0.04,48.29
592,1.66,0.02,48.32
593,2.17,0.11,48.43
594,3.46,0.09,48.51
595,2.79,0.15,48.66
596,2.15,0.04,48.7
597,0.87,0.02,48.73
598,0.9,0.02,48.75
599,1.02,0.04,48.79
600,0.94,0.04,48.83
601,0.92,0.01,48.84
602,0.57,0.04,48.89
603,0.64,0.0,48.89
604,0.86,0.02,48.91
605,2.97,0.07,48.97
606,4.42,0.21,49.18
