frame,x,y
0,1077,502
1,1076,499
2,1076,498
3,1076,498
4,1076,497
5,1075,498
6,1074,501
7,1074,501
8,1074,503
9,1074,503
10,1071,505
11,1072,507
12,1074,506
13,1076,506
14,1076,507
15,1076,508
16,1075,508
17,1074,509
18,1073,512
19,1071,517
20,1069,523
21,1068,524
22,1065,525
23,1059,525
24,1051,530
25,1043,532
26,1032,527
27,1028,525
28,1021,530
29,1027,530
30,1025,539
31,1022,542
32,1008,543
33,1003,543
34,999,540
35,996,535
36,1008,538
37,1010,540
38,996,524
39,991,518
40,991,514
41,998,513
42,995,514
43,995,514
44,992,515
45,991,514
46,991,524
47,992,522
48,995,523
49,990,524
52,988,523
53,997,529
54,995,515
56,993,530
57,993,522
58,995,515
59,1001,504
60,1002,502
61,1002,497
64,1010,494
65,1014,491
66,1021,489
67,1025,490
68,1034,479
69,1037,476
70,1039,485
71,1043,486
72,1050,482
73,1053,475
74,1062,466
75,1066,464
76,1071,461
77,1076,460
78,1075,455
79,1081,453
80,1081,452
81,1081,452
82,1084,441
83,1088,437
84,1091,439
85,1091,449
86,1093,450
87,1094,450
88,1097,451
89,1097,450
90,1098,449
91,1098,451
92,1100,448
93,1101,447
94,1101,452
95,1101,449
96,1100,452
97,1094,452
98,1084,452
99,1081,452
100,1071,452
101,1058,452
102,1050,451
103,1043,453
104,1037,456
105,1035,457
106,1034,460
107,1029,467
108,1026,471
109,1021,473
110,1011,473
111,1007,475
112,992,480
113,985,485
114,976,487
115,968,484
116,961,488
117,959,489
118,956,493
119,948,498
120,942,507
121,939,516
122,935,522
123,934,524
124,934,513
125,931,523
126,929,536
127,925,549
128,918,558
129,916,562
130,915,563
131,911,563
132,905,565
133,902,565
134,898,550
135,897,544
136,895,546
137,895,536
138,894,531
139,895,523
140,895,530
141,895,531
142,897,533
143,898,530
144,902,529
145,904,527
146,906,527
147,907,528
148,907,537
149,907,541
150,909,539
151,911,537
152,912,537
153,912,535
154,914,536
155,915,537
156,914,540
157,898,539
158,896,539
159,896,540
160,896,540
161,895,537
162,888,536
163,878,535
164,871,532
165,868,532
166,862,536
167,854,527
168,842,528
169,830,526
170,821,529
171,818,528
172,812,527
174,787,570
175,784,581
176,784,586
177,784,590
178,785,591
179,789,590
180,792,587
181,795,587
182,799,580
183,801,579
184,806,574
185,813,572
186,822,567
187,827,566
188,830,559
189,832,557
190,832,556
191,834,559
192,836,560
193,841,556
194,847,551
195,850,549
196,858,547
197,868,542
198,878,536
199,896,532
200,907,524
201,911,519
202,915,522
203,919,524
204,926,523
205,937,524
206,942,523
207,944,523
208,947,522
209,951,520
210,965,514
211,965,511
212,965,507
213,962,506
214,968,504
215,977,501
216,986,500
217,990,499
218,992,499
219,992,499
220,992,499
221,994,498
222,997,497
223,1001,495
224,1006,494
225,1008,494
226,1025,492
227,1028,490
228,1029,491
229,1033,489
230,1039,491
231,1041,491
232,1044,493
233,1047,493
234,1050,493
235,1053,494
236,1053,493
237,1053,492
238,1053,490
239,1055,490
240,1059,490
241,1061,492
242,1063,494
243,1064,496
244,1066,496
245,1064,493
246,1064,489
247,1064,486
248,1062,489
249,1062,488
250,1060,489
251,1058,490
252,1055,489
253,1050,498
254,1044,499
255,1042,500
256,1039,501
257,1035,505
258,1036,506
259,1039,511
260,1042,514
261,1044,516
262,1029,501
263,1020,512
264,1018,505
265,1014,513
266,1014,517
267,1014,519
268,1015,519
269,1014,509
270,1014,504
271,1013,507
272,1011,528
273,1010,535
274,1010,535
275,1012,539
276,1025,548
